Wishlist ID,Plant ID,Seed Lot ID,Scientific name,Image type,Image URL,Author,License,Source URL,Notes,Primary,Sort order
,SBC-PLANT-0001,,Capsicum annuum,botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Capsicum_annuum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-027.jpg?width=1200,Franz Eugen Köhler / Köhler's Medizinal-Pflanzen,Public domain,https://commons.wikimedia.org/wiki/File:Capsicum_annuum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-027.jpg,Botanical plate from Köhler's Medizinal-Pflanzen used as primary botanical illustration,yes,1
,SBC-PLANT-0001,,Capsicum annuum,,https://github.com/user-attachments/assets/ca15de63-92b6-40da-8fbd-50c55961b7ed,Miguel Silveira,All rights reserved,https://github.com/Driftwoodye/catalog/issues/1,GitHub issue attachment; corrected mapping,,2
,SBC-PLANT-0002,,Euphorbia milii,botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Euphorbia_milii_var._milii.jpg?width=1200,Curtis's Botanical Magazine,Public domain,https://commons.wikimedia.org/wiki/File:Euphorbia_milii_var._milii.jpg,Curtis's Botanical Magazine plate used as primary botanical illustration,yes,1
,SBC-PLANT-0002,,Euphorbia milii,,https://github.com/user-attachments/assets/7f41c7da-4af8-420c-8509-ca2980071805,Miguel Silveira,All rights reserved,https://github.com/Driftwoodye/catalog/issues/1,GitHub issue attachment; corrected mapping,,2
,SBC-PLANT-0003,,Rhizophora mangle,botanical illustration,https://www.c82.net/images/twining/large/rhizophoraceae.jpg,Elizabeth Twining / restored by Nicholas Rougeux,CC BY-SA 4.0,https://www.c82.net/twining/plants/?id=93,Twining Rhizophoraceae plate including Rhizophora mangle used as primary botanical illustration,yes,1
,SBC-PLANT-0003,,Rhizophora mangle,,https://github.com/user-attachments/assets/2242ec00-445f-42c0-b843-fc01ad46b2d6,Miguel Silveira,All rights reserved,https://github.com/Driftwoodye/catalog/issues/1,GitHub issue attachment,,2
,,SBC-SEED-0001,Swietenia mahagoni,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/Tree_in_new_leaves_I_IMG_6222.jpg?width=1200,Wikimedia Commons contributor,Commons file license,https://commons.wikimedia.org/wiki/File:Tree_in_new_leaves_I_IMG_6222.jpg,Wikipedia/Commons plant photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0002,Styphnolobium japonicum,botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Sophora_japonica_144-8764.jpg?width=1200,M.S. / J.N. Fitch / Curtis's Botanical Magazine,Public domain,https://commons.wikimedia.org/wiki/File:Sophora_japonica_144-8764.jpg,Historical plate under synonym Sophora japonica used for Styphnolobium japonicum,yes,1
,,SBC-SEED-0003,Caesalpinia pulcherrima,botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Caesalpinia_pulcherrima_Blanco1.112.png?width=1200,Francisco Manuel Blanco / Flora de Filipinas,Public domain,https://commons.wikimedia.org/wiki/File:Caesalpinia_pulcherrima_Blanco1.112.png,Blanco botanical plate used as primary illustration for peacock flower seed lot,yes,1
,,SBC-SEED-0004,Gossypium hirsutum,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/CottonPlant.JPG?width=1200,Wikimedia Commons contributor,Commons file license,https://commons.wikimedia.org/wiki/File:CottonPlant.JPG,Wikipedia/Commons plant photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0005,Calliandra haematocephala,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/Carbonerito_rojo_%28Calliandra_haematocephala%29_%2816264136981%29.jpg?width=1200,Wikimedia Commons contributor,Commons file license,https://commons.wikimedia.org/wiki/File:Carbonerito_rojo_(Calliandra_haematocephala)_(16264136981).jpg,Wikipedia/Commons flower photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0006,Thespesia populnea,Wikimedia plant photo,https://upload.wikimedia.org/wikipedia/commons/4/42/Starr_070124-3910_Thespesia_populnea.jpg,Wikimedia Commons contributor,Commons file license,https://en.wikipedia.org/wiki/Thespesia_populnea,Wikipedia/Commons plant photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0008,Delonix regia,Wikimedia plant photo,https://upload.wikimedia.org/wikipedia/commons/8/87/Royal_Poinciana.jpg,Wikimedia Commons contributor,Commons file license,https://en.wikipedia.org/wiki/Delonix_regia,Wikipedia/Commons tree photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0009,Caesalpinia pulcherrima,botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Caesalpinia_pulcherrima_Blanco1.112.png?width=1200,Francisco Manuel Blanco / Flora de Filipinas,Public domain,https://commons.wikimedia.org/wiki/File:Caesalpinia_pulcherrima_Blanco1.112.png,Blanco botanical plate used as primary illustration for peacock flower seed lot,yes,1
,,SBC-SEED-0010,Samanea saman,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/Hitachi%27s_tree_%28cropped%29.jpg?width=1200,Wikimedia Commons contributor,Commons file license,https://commons.wikimedia.org/wiki/File:Hitachi%27s_tree_(cropped).jpg,Wikipedia/Commons tree photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0011,Caesalpinia pulcherrima,botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Caesalpinia_pulcherrima_Blanco1.112.png?width=1200,Francisco Manuel Blanco / Flora de Filipinas,Public domain,https://commons.wikimedia.org/wiki/File:Caesalpinia_pulcherrima_Blanco1.112.png,Blanco botanical plate used as primary illustration for peacock flower seed lot,yes,1
,,SBC-SEED-0012,Tamarindus indica,Wikimedia plant photo,https://upload.wikimedia.org/wikipedia/commons/2/2e/Tamarindus_indica_pods.JPG,Wikimedia Commons contributor,Commons file license,https://en.wikipedia.org/wiki/Tamarind,Wikipedia/Commons fruit photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0013,Ceiba pentandra,Wikimedia plant photo,https://upload.wikimedia.org/wikipedia/commons/5/57/Panguana-Lupuna-2008-2.jpg,Wikimedia Commons contributor,Commons file license,https://en.wikipedia.org/wiki/Ceiba_pentandra,Wikipedia/Commons tree photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0014,Thespesia populnea,Wikimedia plant photo,https://upload.wikimedia.org/wikipedia/commons/4/42/Starr_070124-3910_Thespesia_populnea.jpg,Wikimedia Commons contributor,Commons file license,https://en.wikipedia.org/wiki/Thespesia_populnea,Wikipedia/Commons plant photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0015,Delonix regia var. flavida,Wikimedia plant photo,https://upload.wikimedia.org/wikipedia/commons/8/87/Royal_Poinciana.jpg,Wikimedia Commons contributor,Commons file license,https://en.wikipedia.org/wiki/Delonix_regia,Species-level Delonix image used temporarily; yellow-form image still preferred if found,yes,1
,,SBC-SEED-0016,Moringa oleifera,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/DrumstickFlower.jpg?width=1200,Wikimedia Commons contributor,Commons file license,https://commons.wikimedia.org/wiki/File:DrumstickFlower.jpg,Wikipedia/Commons flower photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0017,Moringa oleifera,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/DrumstickFlower.jpg?width=1200,Wikimedia Commons contributor,Commons file license,https://commons.wikimedia.org/wiki/File:DrumstickFlower.jpg,Wikipedia/Commons flower photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0019,Conocarpus erectus,Wikimedia plant photo,https://upload.wikimedia.org/wikipedia/commons/3/3d/Conocarpus_erectus_Key_Largo.jpg,Wikimedia Commons contributor,Commons file license,https://en.wikipedia.org/wiki/Conocarpus_erectus,Wikipedia/Commons plant photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0023,Albizia lebbeck,Wikimedia plant photo,https://upload.wikimedia.org/wikipedia/commons/0/0c/Starr_080531-4752_Albizia_lebbeck.jpg,Wikimedia Commons contributor,Commons file license,https://en.wikipedia.org/wiki/Albizia_lebbeck,Wikipedia/Commons flower photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0024,Tabebuia rosea,Wikimedia plant photo,https://upload.wikimedia.org/wikipedia/commons/2/24/Roblemorado.jpg,Wikimedia Commons contributor,Commons file license,https://en.wikipedia.org/wiki/Tabebuia_rosea,Wikipedia/Commons flowering tree photo used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0026,Spathodea campanulata,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/Spathodea_campanulata_flower_cluster_%28Philippines%29_2.jpg?width=1200,Wikimedia Commons contributor,Commons file license,https://en.wikipedia.org/wiki/Spathodea,Wikipedia/Commons flower image used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0027,Agastache foeniculum,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/Agastache_foeniculum02.jpg?width=1200,Meneerke bloem,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Agastache_foeniculum02.jpg,Wikimedia Commons flower photo used where no suitable historical botanical plate has been selected yet,yes,1
,,SBC-SEED-0028,Solanum lycopersicum 'Costoluto Fiorentino',Wikimedia plant photo,https://upload.wikimedia.org/wikipedia/commons/8/89/Tomato_je.jpg,Wikimedia Commons contributor,Commons file license,https://en.wikipedia.org/wiki/Tomato,Species-level tomato image used temporarily for Costoluto Fiorentino cultivar seed lot,yes,1
,,SBC-SEED-0029,Cucumis anguria,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/Cucumis_anguria%2C_Fruits_03.jpg?width=1200,Wikimedia Commons contributor,Commons file license,https://en.wikipedia.org/wiki/Cucumis_anguria,Wikipedia/Commons fruit image used as temporary fallback until a suitable historical plate is selected,yes,1
,,SBC-SEED-0030,Passiflora ligularis,Wikimedia plant photo,https://commons.wikimedia.org/wiki/Special:FilePath/Passiflora_ligularis_%2814642851748%29.jpg?width=1200,Wikimedia Commons contributor,Commons file license,https://commons.wikimedia.org/wiki/File:Passiflora_ligularis_(14642851748).jpg,Wikipedia/Commons flower image used where no suitable historical botanical plate has been selected yet,yes,1
,,SBC-SEED-0031,Carica papaya 'Solo No. 8',botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Carica_papaya_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-029.jpg?width=1200,Franz Eugen Köhler / Köhler's Medizinal-Pflanzen,Public domain,https://commons.wikimedia.org/wiki/File:Carica_papaya_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-029.jpg,Species-level Köhler botanical plate used for papaya cultivar seed lot,yes,1
,,SBC-SEED-0032,Thymus serpyllum,botanical illustration,https://commons.wikimedia.org/wiki/Special:FilePath/Thymus_serpyllum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-138.jpg?width=1200,Walther Otto Müller / Köhler's Medizinal-Pflanzen,Public domain,https://commons.wikimedia.org/wiki/File:Thymus_serpyllum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-138.jpg,Köhler botanical plate used as primary illustration for wild thyme seed lot,yes,1
